month,year,category,revenue_usd,units_sold,avg_transaction_value,online_pct,store_count,customer_satisfaction_score,return_rate_pct
January,2021,Electronics,4250000,18200,233.52,38.2,142,7.8,8.3
February,2021,Electronics,3980000,17100,232.75,39.1,142,7.9,8.1
March,2021,Electronics,4710000,20200,233.17,41.3,143,8.0,7.9
April,2021,Electronics,4890000,20900,234.02,43.5,143,8.1,7.7
May,2021,Electronics,5120000,21800,234.86,44.2,144,8.2,7.6
June,2021,Electronics,5340000,22700,235.24,45.1,144,8.3,7.4
July,2021,Electronics,5180000,21900,236.53,45.8,145,8.2,7.5
August,2021,Electronics,5420000,22900,236.68,46.3,145,8.3,7.3
September,2021,Electronics,5670000,23900,237.24,47.1,146,8.4,7.2
October,2021,Electronics,6120000,25800,237.21,47.8,146,8.5,7.1
November,2021,Electronics,8450000,35200,240.06,49.2,147,8.6,8.9
December,2021,Electronics,9870000,40800,241.91,50.1,147,8.4,9.2
January,2022,Electronics,4560000,18900,241.27,51.3,148,8.3,8.0
February,2022,Electronics,4320000,17800,242.70,52.1,148,8.4,7.8
March,2022,Electronics,5100000,20900,243.97,53.2,149,8.5,7.6
April,2022,Electronics,5380000,22000,244.55,54.1,149,8.6,7.5
May,2022,Electronics,5620000,22900,245.41,54.8,150,8.7,7.3
June,2022,Electronics,5890000,23900,246.44,55.6,150,8.8,7.2
July,2022,Electronics,5710000,23100,247.19,56.2,151,8.7,7.3
August,2022,Electronics,5980000,24100,248.09,56.9,151,8.8,7.1
September,2022,Electronics,6230000,25100,248.21,57.5,152,8.9,7.0
October,2022,Electronics,6780000,27200,249.26,58.1,152,9.0,6.9
November,2022,Electronics,9120000,36400,250.55,59.3,153,8.8,8.7
December,2022,Electronics,10650000,42500,250.59,60.2,153,8.6,9.0
January,2023,Electronics,4890000,19400,252.06,61.3,154,8.5,7.8
February,2023,Electronics,4650000,18400,252.72,62.1,154,8.6,7.6
March,2023,Electronics,5480000,21700,252.53,63.0,155,8.7,7.4
April,2023,Electronics,5760000,22700,253.74,63.8,155,8.8,7.3
May,2023,Electronics,6020000,23700,253.97,64.5,156,8.9,7.1
June,2023,Electronics,6310000,24800,254.44,65.2,156,9.0,7.0
July,2023,Electronics,6130000,24000,255.42,65.9,157,8.9,7.1
August,2023,Electronics,6420000,25100,255.78,66.5,157,9.0,6.9
September,2023,Electronics,6690000,26100,256.32,67.1,158,9.1,6.8
October,2023,Electronics,7250000,28200,257.09,67.8,158,9.2,6.7
November,2023,Electronics,9830000,38100,258.01,68.9,159,9.0,8.5
December,2023,Electronics,11470000,44300,258.92,69.8,159,8.8,8.8
January,2021,Apparel,2180000,32700,66.67,29.3,142,7.6,12.4
February,2021,Apparel,2340000,35100,66.67,30.1,142,7.7,12.2
March,2021,Apparel,2890000,43300,66.74,32.4,143,7.8,12.0
April,2021,Apparel,3120000,46600,66.95,33.8,143,7.9,11.8
May,2021,Apparel,3450000,51400,67.12,35.2,144,8.0,11.6
June,2021,Apparel,3680000,54700,67.28,36.1,144,8.1,11.4
July,2021,Apparel,3210000,47600,67.44,36.8,145,8.0,11.5
August,2021,Apparel,3540000,52300,67.69,37.5,145,8.1,11.3
September,2021,Apparel,3120000,45900,67.97,38.2,146,8.0,11.4
October,2021,Apparel,2980000,43700,68.19,38.9,146,8.1,11.2
November,2021,Apparel,4560000,66700,68.37,40.2,147,8.2,13.1
December,2021,Apparel,5230000,76300,68.55,41.0,147,8.0,13.4
January,2022,Apparel,2340000,33900,69.03,42.1,148,7.9,12.2
February,2022,Apparel,2510000,36200,69.34,42.9,148,8.0,12.0
March,2022,Apparel,3120000,44800,69.64,44.1,149,8.1,11.8
April,2022,Apparel,3360000,48100,69.85,45.0,149,8.2,11.6
May,2022,Apparel,3720000,53100,70.06,45.8,150,8.3,11.4
June,2022,Apparel,3970000,56500,70.27,46.6,150,8.4,11.2
July,2022,Apparel,3460000,49100,70.47,47.3,151,8.3,11.3
August,2022,Apparel,3820000,54100,70.61,48.0,151,8.4,11.1
September,2022,Apparel,3370000,47600,70.80,48.7,152,8.3,11.2
October,2022,Apparel,3220000,45300,71.08,49.3,152,8.4,11.0
November,2022,Apparel,4920000,69000,71.30,50.6,153,8.5,12.9
December,2022,Apparel,5640000,79000,71.39,51.4,153,8.3,13.2
January,2023,Apparel,2510000,34800,72.13,52.4,154,8.2,12.0
February,2023,Apparel,2700000,37400,72.19,53.2,154,8.3,11.8
March,2023,Apparel,3350000,46300,72.35,54.3,155,8.4,11.6
April,2023,Apparel,3620000,49900,72.54,55.1,155,8.5,11.4
May,2023,Apparel,4010000,55200,72.65,55.9,156,8.6,11.2
June,2023,Apparel,4280000,58800,72.79,56.7,156,8.7,11.0
July,2023,Apparel,3730000,51100,73.00,57.4,157,8.6,11.1
August,2023,Apparel,4120000,56400,73.05,58.0,157,8.7,10.9
September,2023,Apparel,3640000,49700,73.24,58.7,158,8.6,11.0
October,2023,Apparel,3470000,47300,73.36,59.3,158,8.7,10.8
November,2023,Apparel,5320000,72400,73.48,60.5,159,8.8,12.7
December,2023,Apparel,6090000,82900,73.46,61.3,159,8.6,13.0
January,2021,Home,1890000,14200,133.10,24.1,142,8.0,6.8
February,2021,Home,1750000,13100,133.59,24.9,142,8.1,6.6
March,2021,Home,2340000,17500,133.71,26.8,143,8.2,6.4
April,2021,Home,2780000,20700,134.30,28.3,143,8.3,6.2
May,2021,Home,3120000,23200,134.48,29.8,144,8.4,6.1
June,2021,Home,3450000,25600,134.77,30.7,144,8.5,5.9
July,2021,Home,3210000,23700,135.44,31.5,145,8.4,6.0
August,2021,Home,3560000,26200,135.88,32.3,145,8.5,5.8
September,2021,Home,2890000,21200,136.32,33.1,146,8.4,5.9
October,2021,Home,2650000,19300,137.31,33.8,146,8.5,5.8
November,2021,Home,3780000,27400,137.96,35.1,147,8.6,7.2
December,2021,Home,4560000,32900,138.60,35.9,147,8.4,7.5
January,2022,Home,2010000,14400,139.58,36.9,148,8.3,6.6
February,2022,Home,1860000,13300,139.85,37.7,148,8.4,6.4
March,2022,Home,2490000,17800,139.89,38.8,149,8.5,6.2
April,2022,Home,2960000,21100,140.28,39.7,149,8.6,6.0
May,2022,Home,3320000,23600,140.68,40.5,150,8.7,5.9
June,2022,Home,3680000,26100,141.00,41.3,150,8.8,5.7
July,2022,Home,3420000,24200,141.32,42.0,151,8.7,5.8
August,2022,Home,3790000,26800,141.42,42.8,151,8.8,5.6
September,2022,Home,3080000,21700,141.94,43.5,152,8.7,5.7
October,2022,Home,2820000,19800,142.42,44.2,152,8.8,5.6
November,2022,Home,4030000,28200,142.91,45.5,153,8.9,7.0
December,2022,Home,4870000,34000,143.24,46.3,153,8.7,7.3
January,2023,Home,2160000,15000,144.00,47.2,154,8.6,6.4
February,2023,Home,2000000,13900,143.88,48.0,154,8.7,6.2
March,2023,Home,2680000,18600,144.09,49.1,155,8.8,6.0
April,2023,Home,3180000,22000,144.55,49.9,155,8.9,5.8
May,2023,Home,3570000,24700,144.53,50.7,156,9.0,5.7
June,2023,Home,3960000,27300,145.05,51.5,156,9.1,5.5
July,2023,Home,3680000,25300,145.45,52.2,157,9.0,5.6
August,2023,Home,4080000,28000,145.71,52.9,157,9.1,5.4
September,2023,Home,3310000,22700,145.81,53.6,158,9.0,5.5
October,2023,Home,3030000,20800,145.67,54.2,158,9.1,5.4
November,2023,Home,4340000,29700,146.13,55.4,159,9.2,6.8
December,2023,Home,5230000,35800,146.09,56.2,159,9.0,7.1
January,2021,Sports,1340000,16800,79.76,22.3,142,8.2,9.1
February,2021,Sports,1180000,14800,79.73,23.1,142,8.3,8.9
March,2021,Sports,1870000,23400,79.91,25.4,143,8.4,8.7
April,2021,Sports,2340000,29200,80.14,27.2,143,8.5,8.5
May,2021,Sports,2780000,34600,80.35,28.9,144,8.6,8.3
June,2021,Sports,3120000,38800,80.41,29.8,144,8.7,8.1
July,2021,Sports,3450000,42800,80.61,30.6,145,8.8,8.0
August,2021,Sports,3210000,39700,80.86,31.4,145,8.7,8.1
September,2021,Sports,2560000,31600,81.01,32.1,146,8.6,8.2
October,2021,Sports,2120000,26100,81.23,32.8,146,8.5,8.3
November,2021,Sports,2890000,35400,81.64,34.1,147,8.6,9.4
December,2021,Sports,3340000,40800,81.86,34.9,147,8.4,9.7
January,2022,Sports,1430000,17400,82.18,35.9,148,8.3,8.9
February,2022,Sports,1260000,15300,82.35,36.7,148,8.4,8.7
March,2022,Sports,2000000,24200,82.64,37.8,149,8.5,8.5
April,2022,Sports,2500000,30200,82.78,38.7,149,8.6,8.3
May,2022,Sports,2980000,35900,83.01,39.5,150,8.7,8.1
June,2022,Sports,3340000,40200,83.08,40.3,150,8.8,7.9
July,2022,Sports,3700000,44500,83.15,41.0,151,8.9,7.8
August,2022,Sports,3440000,41300,83.29,41.8,151,8.8,7.9
September,2022,Sports,2750000,33000,83.33,42.5,152,8.7,8.0
October,2022,Sports,2280000,27300,83.52,43.1,152,8.6,8.1
November,2022,Sports,3100000,37100,83.56,44.3,153,8.7,9.2
December,2022,Sports,3580000,42800,83.64,45.1,153,8.5,9.5
January,2023,Sports,1540000,18300,84.15,46.0,154,8.4,8.7
February,2023,Sports,1350000,16100,83.85,46.8,154,8.5,8.5
March,2023,Sports,2150000,25600,83.98,47.9,155,8.6,8.3
April,2023,Sports,2690000,32000,84.06,48.7,155,8.7,8.1
May,2023,Sports,3210000,38100,84.25,49.5,156,8.8,7.9
June,2023,Sports,3590000,42500,84.47,50.3,156,8.9,7.7
July,2023,Sports,3980000,47000,84.68,51.0,157,9.0,7.6
August,2023,Sports,3700000,43600,84.86,51.7,157,8.9,7.7
September,2023,Sports,2960000,34800,85.06,52.4,158,8.8,7.8
October,2023,Sports,2450000,28700,85.36,53.0,158,8.7,7.9
November,2023,Sports,3340000,39100,85.42,54.2,159,8.8,9.0
December,2023,Sports,3860000,45200,85.40,55.0,159,8.6,9.3
January,2021,Beauty,980000,19600,50.00,31.2,142,8.4,7.2
February,2021,Beauty,1120000,22400,50.00,32.0,142,8.5,7.0
March,2021,Beauty,1340000,26700,50.19,34.2,143,8.6,6.8
April,2021,Beauty,1560000,31000,50.32,35.7,143,8.7,6.6
May,2021,Beauty,1780000,35300,50.42,37.1,144,8.8,6.4
June,2021,Beauty,1920000,38000,50.53,38.0,144,8.9,6.2
July,2021,Beauty,1840000,36400,50.55,38.8,145,8.8,6.3
August,2021,Beauty,1980000,39000,50.77,39.6,145,8.9,6.1
September,2021,Beauty,1760000,34600,50.87,40.3,146,8.8,6.2
October,2021,Beauty,1680000,33000,50.91,41.0,146,8.9,6.1
November,2021,Beauty,2340000,45900,50.98,42.3,147,9.0,7.4
December,2021,Beauty,2780000,54500,51.01,43.1,147,8.8,7.7
January,2022,Beauty,1050000,20400,51.47,44.1,148,8.7,7.0
February,2022,Beauty,1200000,23300,51.50,44.9,148,8.8,6.8
March,2022,Beauty,1440000,27900,51.61,46.0,149,8.9,6.6
April,2022,Beauty,1670000,32300,51.70,46.9,149,9.0,6.4
May,2022,Beauty,1910000,36900,51.76,47.7,150,9.1,6.2
June,2022,Beauty,2060000,39700,51.89,48.5,150,9.2,6.0
July,2022,Beauty,1980000,38100,51.97,49.2,151,9.1,6.1
August,2022,Beauty,2130000,41000,51.95,49.9,151,9.2,5.9
September,2022,Beauty,1890000,36300,52.07,50.6,152,9.1,6.0
October,2022,Beauty,1810000,34700,52.16,51.3,152,9.2,5.9
November,2022,Beauty,2520000,48200,52.28,52.5,153,9.3,7.2
December,2022,Beauty,3000000,57400,52.26,53.3,153,9.1,7.5
January,2023,Beauty,1130000,21500,52.56,54.2,154,9.0,6.8
February,2023,Beauty,1290000,24500,52.65,55.0,154,9.1,6.6
March,2023,Beauty,1550000,29400,52.72,56.1,155,9.2,6.4
April,2023,Beauty,1800000,34100,52.79,56.9,155,9.3,6.2
May,2023,Beauty,2060000,38900,52.96,57.7,156,9.4,6.0
June,2023,Beauty,2220000,41900,53.00,58.5,156,9.5,5.8
July,2023,Beauty,2130000,40100,53.12,59.2,157,9.4,5.9
August,2023,Beauty,2300000,43200,53.24,59.9,157,9.5,5.7
September,2023,Beauty,2040000,38300,53.26,60.5,158,9.4,5.8
October,2023,Beauty,1950000,36600,53.28,61.2,158,9.5,5.7
November,2023,Beauty,2720000,51000,53.33,62.4,159,9.6,7.0
December,2023,Beauty,3240000,60700,53.38,63.2,159,9.4,7.3
